Data category	Type of code	Application	Old	Major	Old	Minor	Description
		Lines		090		0201	Indefinite (or approximate) boundary
						0202	Disputed boundary
						0203	Historical line
						0204	Boundary closure claim
		Points		090		0301	Reference monuments for boundary
		(degenerate lines)					points
		Multiple element		090		NONE	
		types					
	Descriptive	Multiple element		090		0000	Photorevised feature
		types					
	Parameter	Multiple element		091		00--	State FIPS code
		types		092		0---	County or county equivalent FIPS code
				095		----	Monument number
				096		XXYY	Alphabetic portion of any monument
							number substitute numeric equivalent
							of alphabetic for XX and for YY ass
							follows: 00 blank, 01 = A, 02 = B,
							03 = C, 04 = D, 05 = E, 06 = F,
							07 = G, 08 = H, 09 = I, 10 = J,
							11 = K, 12 = L, 13 = M, 14 = N,
							15 = O, 16 = P, 17 = Q, 18 = R,
							19 = S, 20 = T, 21 = U, 22 = V,
							23 = W, 24 = X, 25 = Y, 26 = Z.
				098		0000	Best estimate of classification
							or position.
				099		00--	Coincident feature
Transportation, Roads,	Feature identification	Nodes		170		0001	Bridge abutment
and Trails						0002	Tunnel portal
						0004	Gate
						0005	Cul-de-sac
						0006	Dead end
						0007	Drawbridge
				170		0100	Void area
		Lines		170		0201	Primary route, class 1, symbol
							undivided
						0202	Primary route, class 1, symbol
							divided by centerline
						0203	Primary route, class 1, divided,
							lanes separated
						0204	Primary route, class 1, one way, other
							than divided highway
						0205	Secondary route, class 2, symbol
							undivided
						0206	Secondary route, class 2, symbol
							divided by centerline
						0207	Secondary route, class 2, symbol
							divided, lanes separated
						0208	Secondary route, class 2, one way,
							other then divided highway
						0209	Road or street, class 3
						0210	Road or street, class 4
						0211	Trail, class 5, other than four-wheel
							drive vehicle
						0212	Trail, class 5, four-wheel-drive
							vehicle
						0213	Footbridge
						0214	Ferry crossing
						0215	Perimeter of parking area
						0216	Arbitrary extension of line (join or
							closure)
Transportation, Roads,	Feature identification	Lines (cont'd.)				0217	Road or street, class 3, symbol
and trails (cont'd.)	(cont'd.)						divided by centerline
						0218	Road or street, class 3, divided
							lanes separated
						0221	Road in street, class 3, one way
						0222	Road in transition
		Points				NONE	
		(degenerate lines)					
		Multiple element		170		0401	Traffic circle
		type				0402	Cloverleaf or interchange
						0403	Toll gate, toll plaza or perimeter or
						toll	plaza
						0404	Weigh station
						0405	Nonstandard section of road
			*	170		0600	Historical
	Descriptive	Multiple element		170		0601	In tunnel
		types				0602	Overpassing, on bridge
						0603	Under construction, classification
							known
						0604	Under construction, classification
							unknown
						0605	Labeled "old railroad grade"
						0606	Submerged or in ford
						0607	Underpassing
					*	0608	Limited access
						0609	Toll road
						0610	Privately operated or controlled
							public access
						0611	Proposed
						0612	Double-decked
						0613	In service facility or rest area
						0614	Elevated
						0615	Bypass route
						0616	Alternate route
Transportation, Roads,	Descriptive	Multiple element		170		0617	Business route
and trails (cont'd.)	(cont'd.)	types (cont'd.)				0618	On drawbridge
						0619	Spur
						0620	Loop
						0621	Connector
						0622	Truck route
						0650	Road width 46-55 feet, 0.025 inches
							at 1:24,000
						0651	Road width 56-65 feet, 0.030 inches
							at 1:24,000
						0652	Road width 66-75 feet, 0.035 inches
							at 1:24,000
						0653	Road width 76-85 feet, 0.040 inches
							at 1:24,000
						0654	Road width 86-95 feet, 0.045 inches
							at 1:24,000
						0655	Road width 96-105 feet, 0.050 inches
							at 1:24,000
						0656	Road width 106-115 feet, 0.055 inches
							at 1:24,000
						0657	Road width 116-125 feet, 0.060 inches
							at 1:24,000
						0658	Road width 126-135 feet, 0.065 inches
							at 1:24,000
						0659	Road width 136-145 feet, 0.070 inches
							at 1:24,000
				170		0000	Photorevised feature
	Parameter	Multiple element		171		----	Number of lanes
		types		172		----	Interstate route number
				173		----	U.S. route number
				174		----	State route number
				175		----	Reservation, park, or military route
							number
				176		----	County route
Transportation, Road,	Parameter (cont'd.)	Multiple element		177		XXYY	Alphabetic portion of any route
and Trails (cont'd.)		types (cont'd.)					number. Substitute numeric equivalent
							of alphabetic for XX and for YY
							as follows: 00 = blank, 01 = A,
							02 = B, 03 = C, 04 = D, 05 = E,
							06 = F, 07 = G, 08 = H, 09 = I,
							10 = J, 11 = K, 12 = L, 13 = M,
							14 = N, 15 = O, 16 = P, 17 = Q,
							18 = R, 19 = S, 20 = T, 21 = U,
							22 = V, 23 = W, 24 = X, 25 = Y,
							26 = Z.
				178		0000	Best estimate of position or
							classification
				179		00--	Coincident feature
Transportation,	Feature identification	Nodes		180		0001	Bridge abutment
Railroads						0002	Tunnel portal
						0007	Drawbridge
		Areas		180		0100	Void area
		Lines		180		0201	Railroad
						0202	Railroad in street or road
						0204	Carline
						0205	Cog railroad, incline railway,
							logging tram
						0207	Ferry crossing
						0208	Railroad siding
						0209	Perimeter or limit of yard
						0210	Arbitrary line extension
						0211	Closure line
		Points		180		NONE	
		(degenerate lines)					
		Multiple element		180		0400	Railroad station, perimeter of
		types					station
						0401	Turntable
						0402	Roundhouse
			*	180		0600	Historical
Transportation,	Descriptive	Multiple element		180		0601	In tunnel
Railroads (cont'd.)		types				0602	Overpassing, on bridge
						0603	Abandoned
						0604	Dismantled
						0605	Underpassing
						0606	Narrow gauge
						0607	In snowshed or under structure
						0608	Under construction
						0609	Elevated
						0610	Rapid transit
						0611	On drawbridge
						0612	Private
						0613	U.S. Government
						0614	Juxtaposition
				180		0000	Photorevised feature
	Parameter	Multiple element		181		----	Number of tracks
		types		188		0000	Best estimate of position or
							classification
				189		00--	Coincident feature
Transportation,	Feature identification	Nodes		190		0001	End of transmission line at
Pipelines, Trans-							power station, substation, or
mission Lines,							hydroelectric plant
Miscellaneous Trans-						0002	End of pipeline at oil or gas
portation Features							field
						0003	End of pipeline at refinery,
							depot, or tank farm
		Areas		190		0100	Void area
		Lines		190		0201	Pipeline
						0202	Power transmissiion line
						0203	Telephone or telegraph line
						0204	Aerial tramway, monorail, ski
							lift
						0205	Arbitrary line extension
						0206	Closure line
Transportation,	Feature identification	Points		190		0300	Seaplane anchorage
Pipelines, Trans-	(cont'd.)	(Degenerate lines)					
mission Lines,							
Miscellaneous Trans-		Multiple element		190		0400	Power station
portation Features (cont'd.)		types				0401	Substation
						0402	Hydroelectric Plant
						0403	Landing strip, airport,
							perimeter of airport
						0404	Heliport, perimeter of heliport
						0405	Launch complex, perimeter of
							launch complex
						0406	Pumping station (other than
							water)
						0407	Seaplane ramp or landing area
						0408	Measuring station
	Descriptive	Multiple element		190		0600	Underground
		types				0601	Under construction
						0602	Abandoned
						0603	Above ground
						0604	Labeled "closed"
						0605	Unimproved, loose surface
						0606	Submerged
						0607	Nuclear
				190		0000	Photorevised feature
	Parameters	Multiple element		193		0---	Angle of clockwise rotation
		types					(nearest whole degree)
				198		0000	Best estimate of position or
							classification
				199		00--	Coincident feature
U.S. Public Land	Feature identification	Nodes		300		0001	U.S. Public Land Survey System
Survey System							section corner
						0002	Point on section line (no corner)
						0003	Closing corner
						0004	Meander corner
						0005	Auxiliary meander corner
						0006	Special meander corner
						0007	Witness corner
						0008	Witness point
						0009	Angle point
						0010	Location monument (includes amended
							monument and mineral monument)
						0011	Reference mark
						0012	Quarter-section corner
						0013	Tract corner
						0014	Land grant corner
						0015	Arbitrary section corner
		Nodes (identifi-		300		0040	Corner identified in field
		cation procedures)				0041	Corner with horizontal coordinates
						0042	Corner with elevation value
	Parameters	Areas					Select one parameter code from each of
							the following A, B, C, and D lists
							and/or consult list E.
							A. Origin of Survey
				306		00--	Insert two-digit code from Appendix K.
							B. Township number(s)
				30-		----	Insert 2 for north of the baseline or
							3 for south of the baseline in first
							space. In the second space, insert
							a 0 for full township, 2 for 1/4
							township, 4 for 1/2 township, or 6
							for 3/4 township. Insert township
							number in the last three spaces,
							right justified.
U.S. Public Land	Parameters	Areas (cont'd.)					C. Range number(s)
Survey System	(cont'd.)						
(cont'd.)				30-		----	Insert 4 for east of the principal
							meridian or 5 for west of the
							principal meridian in the first
							space. In the second space, insert
							a 0 for a full range, 2 for 1/4
							range, 4 for ½ range, 6 for 3/4
							range, 8 for duplicate to the north
							or east of the original township, or
							9 for triplicate to the north or
							east of the original township.
							Insert range number in last three
							spaces, right justified.
							D. Section number
				301		----	In the first space, insert 0 for
							numeric section identifier, 1 for
							numeric portion of alphanumeric
							identifier or 2 for alphabetic part
							of alphanumeric identifier. In the
							last three spaces, insert section
							number or numeric representation of
							alphabetic character (01-26), right
							justified.
							E. Land grant identifier
				307		----	In the first space, insert the
							appropriate number:
						0	for numeric grant identifier
						1	for numeric portion of alphanumeric
							identifier
						2	for alphabetic portion of
							alphanumeric identifier
						3	for alphabetic identifier
						4	for identifier of named grant in
							Arizona
U.S. Public Land	Parameters	Areas (cont'd)				5	for identifier of named grant in
Survey system	(cont'd.)						California
(cont'd.)						6	for identifier of named grant in
							Colorado
						7	for identifier of named grant in New
							Mexico
						8	For identifier of named grant in
							other States
							In the last three spaces after 0-3
							above, insert the grant number or
							numeric representation of the
							alphabetic character (01-26),
							right-justified. In the last three
							spaces after 4-7 above, insert the
							three-digit code of the named grant
							as designated in Appendix L.
							F. Excluded areas
				300		0100	Indian lands
						0101	Homestead entries
						0102	Donation land claims
						0103	Land grants; civil colonies
						0104	Private extension of public land
							survey
						0105	Area of public and private survey
							overlap
						0106	Overlapping land grants
						0107	Military reservation
						0198	Water
						0199	Unsurveyed area
	Feature identification	Lines		300		0201	Approximate position (within 200 feet)
						0202	Protracted position
						0203	Arbitrary closure line
						0204	Base line
						0205	Claim line, grant line
		Points		300		0300	Location monument
		(degenerate lines)				0301	Isolated found section corner
						0302	Witness corner (off surveyed line)
U.S. Public Land	Parameter	Multiple element		308		0000	Best estimate of classification and/or
Survey System		types					position
(cont'd.)				309		00--	Coincident feature or symbol
